Model,Band_Selection,N_Bands,OA,AA,Kappa
-0.27255177,-0.24217096,-0.20892633,-0.18380468,-0.24288794,-0.2068278
-0.097799696,-0.084008604,-0.02638183,-0.11033596,-0.03614195,-0.0690867
-1.4614388,-1.5164225,-1.6243942,-1.6990969,-1.6277579,-1.5842389
1.6697744,1.7840978,1.6195112,1.6743416,1.7261214,1.7482073
0.98509014,0.8888391,0.91925853,0.9427156,0.9811796,1.0550585
-0.7309179,-0.6927845,-0.71466434,-0.64910656,-0.69904184,-0.7622355
-0.52465314,-0.51074857,-0.44832894,-0.46237355,-0.46932405,-0.5000831
-0.14077151,-0.10191377,-0.09521008,-0.027683659,-0.029578587,-0.024654083
-1.9255344,-2.0834198,-2.1810052,-2.213378,-2.1561089,-2.1574197
0.09700589,0.03237503,-0.071269825,-0.0827852,-0.0033251282,0.073097676
-0.6936756,-0.7524684,-0.63386595,-0.63686174,-0.72529525,-0.7355759
-0.44443905,-0.32572845,-0.30767992,-0.29400775,-0.26585972,-0.29569304
-1.4585739,-1.4955332,-1.459805,-1.4786909,-1.3914768,-1.4287248
0.8762282,0.748582,0.78758705,0.77128863,0.7383351,0.6773813
-0.22671516,-0.27499712,-0.4363588,-0.48686314,-0.42994386,-0.40677458
-0.1923377,-0.11981894,-0.05630716,-0.11645836,-0.11490233,-0.122405834
-0.0490983,0.023422444,0.07237175,0.14374334,0.022928331,0.024221795
0.84471554,0.7754397,0.7277364,0.7498602,0.8302222,0.7706897
0.13997771,0.27707908,0.14419253,0.16211052,0.22639264,0.05532463
1.729935,1.7363507,1.6374664,1.6008729,1.5489106,1.6015797
-1.9828302,-2.1072934,-2.1391098,-2.152154,-2.2086158,-2.1574197
-1.8539147,-1.9163047,-1.8877372,-1.9164418,-1.9198277,-1.9574729
0.31759456,0.4173363,0.38958022,0.39782265,0.22311096,0.17529269
0.79601413,0.7724555,0.781602,0.7498602,0.72520834,0.6596082
0.21446218,0.31587362,0.3057893,0.3396599,0.3642233,0.28193098
-0.7710249,-0.8598995,-0.7386046,-0.7440036,-0.85984427,-0.8066681
0.42072693,0.36958915,0.46439353,0.46210778,0.42657524,0.50409406
-0.9601009,-1.0120934,-0.9480819,-0.9582874,-0.93860465,-0.957739
-0.8684277,-0.8509469,-0.85830593,-0.85114557,-0.96813977,-0.91774964
0.22592133,0.1219009,0.111274675,0.11619257,0.045900106,0.09975725
-0.42725033,-0.43315947,-0.33760524,-0.35829288,-0.31508496,-0.31790936
-0.27828136,-0.2153132,-0.14608315,-0.11033596,-0.16412757,-0.17128171
-0.553301,-0.4779224,-0.4812468,-0.46543476,-0.4168171,-0.37567174
-0.23530953,-0.34363362,-0.28373966,-0.24196741,-0.27898645,-0.2201576
2.0794392,1.8318449,1.7781155,1.7753611,1.9098957,1.8681754
0.005332669,-0.08699279,-0.08024742,-0.11645836,-0.068958774,-0.033540606
-0.3584954,-0.30185488,-0.2597994,-0.21441664,-0.28554982,-0.25126043
0.36629593,0.17561643,0.35366982,0.36108828,0.4200119,0.40189904
1.1254648,1.1574167,1.1287358,1.215162,1.1485454,1.2194592
-0.39573765,-0.44211206,-0.45730653,-0.44706756,-0.3216483,-0.36234197
0.79601413,0.7157558,0.83846015,0.76210505,0.8269405,0.7662465
0.23738049,0.29200006,0.27885652,0.3304763,0.5053356,0.2552714
2.093763,1.8915288,1.9307346,1.9774001,1.8409804,1.8815051
-0.10066448,-0.09594538,-0.1969562,-0.1684987,-0.09849392,-0.095746264
-1.404143,-1.4716597,-1.459805,-1.4572624,-1.2733363,-1.3798488
-0.41579115,-0.37347558,-0.42139617,-0.36441526,-0.28554982,-0.36678523
-0.5275179,-0.51671696,-0.45730653,-0.4164556,-0.49229583,-0.5311859
-0.16082503,-0.13473992,-0.10119515,-0.11033596,-0.09849392,-0.060200173
0.10846504,0.18456902,0.15317014,0.18660009,0.17060404,0.21528205
-1.9914246,-2.029704,-2.0972145,-2.1154196,-2.1593904,-2.0685544
0.17149037,0.23231614,0.23995358,0.25088522,0.4036035,0.2552714
0.48948184,0.6232458,0.55416954,0.5233317,0.4922089,0.50409406
-1.3926839,-1.3701969,-1.2892306,-1.310325,-1.2470828,-1.2954268
0.2832171,0.2621581,0.3057893,0.25088522,0.24280106,0.17973596
1.0194676,1.0768435,1.0479374,1.013123,0.9221093,0.88177127
-0.9772896,-0.8330417,-0.90618646,-0.93073666,-0.89922446,-0.84665745
0.90487605,0.841092,0.7905796,0.7651662,0.86632067,0.8240089
3.1308162,2.9449499,2.7387185,2.7794335,2.7204711,2.8767958
0.8189324,0.90376014,0.877363,0.85394084,0.9122642,0.87288475
-0.60486716,-0.58236927,-0.5141647,-0.46237355,-0.48245078,-0.54007244
0.40926775,0.43225724,0.42249808,0.3702719,0.42985693,0.36635295
-0.53611225,-0.624148,-0.5949631,-0.5848214,-0.5710562,-0.54451567
-1.9942893,-2.0147831,-2.0463414,-2.09093,-2.1561089,-2.0863276
-0.16368982,-0.084008604,-0.011419166,-0.01850007,0.016364966,-0.020210821
-2.0773683,-2.1371353,-2.1780128,-2.2072554,-2.2709677,-2.197409
-1.3926839,-1.5641696,-1.5316257,-1.5368536,-1.5621243,-1.5398062
0.10273546,0.02640664,-0.116157815,-0.11645836,-0.1411558,-0.011324298
-1.8539147,-1.93421,-1.9805056,-2.0388896,-2.0182781,-2.0241218
0.8676338,0.7843923,0.736714,0.78965575,0.9713345,0.8684415
-0.5733545,-0.6898003,-0.6069332,-0.5970662,-0.57761955,-0.6022781
0.20586781,0.09504314,-0.014411698,-0.00931648,-0.0033251282,0.12197355
-0.031909574,-0.08997699,0.036461357,0.05802984,-0.009888493,0.028665056
2.1424644,2.0646122,2.101309,2.023318,2.070698,2.032576
-0.9973431,-0.89272565,-0.96902966,-0.9215531,-0.86640763,-0.93552274
-1.9484527,-1.9879254,-2.016416,-2.0541956,-2.0346866,-2.0507815
-0.5103292,-0.49881178,-0.46628416,-0.422578,-0.50542253,-0.54007244
0.4694283,0.5426725,0.47337115,0.5080257,0.42657524,0.35302314
-0.12644757,-0.027308881,-0.08922502,-0.088907585,-0.06567709,-0.011324298
0.07408758,0.10399573,0.17112532,0.17129411,0.10497039,0.18417922
0.036845334,0.13085349,0.07835682,0.015173092,0.13450553,0.073097676
-0.37568414,-0.39436495,-0.34658283,-0.31543612,-0.2494513,-0.3578987
-0.22957996,-0.24515516,-0.2059338,-0.18686587,-0.16084589,-0.08685975
0.98222536,1.0649067,1.1676388,1.0345515,0.9713345,1.0861614
-1.2895515,-1.3433392,-1.4627975,-1.4756296,-1.4275753,-1.3976219
-0.33271232,-0.3585546,-0.5111721,-0.57257664,-0.5119859,-0.39788806
1.0423859,1.1544325,1.0778627,1.1325097,1.0205598,0.9839663
-0.42725033,-0.3585546,-0.32264256,-0.32768092,-0.44963396,-0.5222994
-0.01185606,-0.09892958,-0.08922502,-0.05217323,-0.06567709,0.019778533
0.46369874,0.47702017,0.38359514,0.4376182,0.53487074,0.45521817
0.059763644,0.08609055,0.14718507,0.08558061,-4.3445918e-05,0.002005487
1.6182083,1.5214887,1.6254963,1.6529132,1.4898404,1.5838066
-0.61346155,-0.6629425,-0.6009481,-0.54196465,-0.6235631,-0.62893766
-0.65643334,-0.73456323,-0.7326196,-0.72869766,-0.69576013,-0.77112204
0.4751579,0.5605777,0.55117697,0.5386377,0.584096,0.5574132
-2.0286667,-2.0983407,-2.1241472,-2.2072554,-2.133137,-2.1618629
-0.52465314,-0.501796,-0.38548577,-0.44400638,-0.31836665,-0.3445689
-0.18087855,-0.14369251,-0.1969562,-0.14707032,-0.13787411,-0.10907605
1.5895604,1.6856194,1.5476905,1.6069952,1.3848265,1.4682819
-0.7079995,-0.8121524,-0.77152246,-0.796044,-0.8499992,-0.8244412
-0.34990105,-0.47195402,-0.48723188,-0.48074073,-0.5841829,-0.4512072
0.4923466,0.5546093,0.5272367,0.51108694,0.47580048,0.5218671
-0.08347575,-0.08699279,-0.08323995,-0.0736016,-0.016451858,0.06421115
0.28894666,0.17860062,0.15616266,0.1804777,0.14763226,0.24638487
0.79601413,0.70680326,0.8354676,0.79883933,0.9516444,0.81512237
0.8762282,0.69785064,0.6798559,0.6243512,0.584096,0.8106791
0.23738049,0.24723712,0.2579088,0.2753748,0.38719508,0.3130338
0.6155325,0.5904196,0.6768634,0.6151676,0.584096,0.5796295
0.9707662,0.93658626,0.9731241,0.94577676,0.9516444,0.9395337
0.14857207,0.08609055,-0.029374361,0.005989502,-0.062395412,0.08642746
-2.0372612,-2.0983407,-2.1570652,-2.1919496,-2.1659539,-2.1840792
0.6785578,0.7455978,0.77561694,0.8080229,0.8203771,0.82845217
0.77023107,0.8172184,0.8115273,0.8294513,0.90570086,0.81512237
-0.28401092,-0.25709194,-0.26578444,-0.19911066,-0.3085216,-0.3578987
0.8475803,0.7843923,0.871378,0.777411,0.89257413,0.8106791
1.202814,1.2350059,1.1107806,1.2090397,1.1780806,1.2905513
0.78455496,0.7396294,0.8055423,0.72537065,0.64644796,0.5929593
0.351972,0.36660495,0.34768477,0.31210914,0.38719508,0.42411533
-0.051963087,-0.10191377,-0.08922502,-0.10727476,-0.052550364,0.041994844
0.12851855,0.24723712,0.27586398,0.31210914,0.27233618,0.34857988
-0.58767843,-0.4809066,-0.5081796,-0.46543476,-0.4955775,-0.584505
-0.89421076,-0.89869404,-0.85232085,-0.82971716,-0.95829475,-0.93996596
-0.5991376,-0.58833766,-0.55905265,-0.55727065,-0.531676,-0.4956398
-0.6421094,-0.63310057,-0.6099257,-0.56645423,-0.5513661,-0.61560786
0.28608188,0.4471782,0.5003039,0.449863,0.35437825,0.34857988
-0.7882136,-0.7733578,-0.7176569,-0.69808567,-0.7417037,-0.7489057
-0.25536305,-0.26007614,-0.28673217,-0.28176296,-0.23632458,-0.2068278
-0.6936756,-0.68383193,-0.6488286,-0.6154334,-0.72529525,-0.6600405
-1.8940217,-2.0058305,-2.0493338,-2.0480733,-2.1364188,-2.1218736
0.43218607,0.39346272,0.4524234,0.4529242,0.5020539,0.3707962
1.7070167,1.6408564,1.6374664,1.5794445,1.5521923,1.6726719
1.3575126,1.375263,1.4429517,1.3804667,1.4340518,1.3971896
0.7902846,0.8022975,0.9402062,0.8172065,0.9417994,0.9128741
-0.9028051,-0.8390101,-0.8792537,-0.826656,-0.9123512,-0.87331706
0.23738049,0.3248262,0.27586398,0.21108967,0.33796984,0.30414727
-0.54470664,-0.4749382,-0.48423934,-0.46237355,-0.5119859,-0.464537
-1.9771006,-2.0923724,-2.1271398,-2.1490927,-2.1725173,-2.1707494
-2.0286667,-2.1222143,-2.1720276,-2.1888883,-2.2283058,-2.1663063
-0.1665546,-0.21829739,-0.15206821,-0.09809118,-0.14771916,-0.14017889
-0.1923377,-0.18547125,-0.21191886,-0.18380468,-0.21007112,-0.1490654
0.7988789,0.9336021,0.9282361,0.91516477,0.800687,0.775133
0.054034065,0.089074746,0.12623733,0.048846252,0.16732235,0.15751964
-0.5217883,-0.47195402,-0.46628416,-0.5082915,-0.5907463,-0.6467107
-0.16082503,-0.13473992,-0.13710554,-0.10727476,-0.01973354,-0.122405834
0.6613691,0.60832477,0.7187588,0.6825139,0.63660294,0.65516496
-0.79680794,-0.6032586,-0.5919705,-0.6154334,-0.594028,-0.6822568
0.6670987,0.5367041,0.5721247,0.55700487,0.59722275,0.5974026
0.4694283,0.5605777,0.62299776,0.58149445,0.6234762,0.5574132
1.2715689,1.3991365,1.1945715,1.2212844,1.3782631,1.3883032
-0.52465314,-0.46896982,-0.5261348,-0.48686314,-0.49229583,-0.4245476
-1.5445176,-1.5611855,-1.6273867,-1.6041998,-1.4177302,-1.5175899
2.2914333,2.2227745,2.1701372,2.1090314,2.0969515,2.1747603
-0.6421094,-0.57341665,-0.5919705,-0.56339306,-0.5415211,-0.62005115
-0.4558982,-0.39436495,-0.35855296,-0.32768092,-0.42666218,-0.4734235
0.059763644,0.044311814,0.18010293,0.13149856,0.13450553,0.09975725
0.690017,0.733661,0.7337215,0.70088106,0.863039,0.8106791
-0.66216296,-0.6868161,-0.5291273,-0.5113527,-0.5743379,-0.6467107
-0.066287026,-0.22128159,-0.3795007,-0.38278243,-0.37087354,-0.22460085
0.30040583,0.31587362,0.3416997,0.3457823,0.29530796,0.24638487
-0.30119964,-0.364523,-0.2538143,-0.19911066,-0.21663448,-0.22904411
-0.5704897,-0.4182385,-0.34059778,-0.3215585,-0.31180328,-0.3001363
-1.3984134,-1.4746438,-1.4897304,-1.5215476,-1.565406,-1.5309198
-1.9599118,-2.0983407,-2.1241472,-2.152154,-2.1364188,-2.1218736
-0.68221647,-0.59430605,-0.5979556,-0.5878826,-0.594028,-0.60672134
0.84471554,0.8291552,0.8803556,0.88455284,0.8400672,0.8373387
0.3548368,0.24425292,0.19506559,0.21108967,0.18044908,0.31747708
-0.5905432,-0.54357475,-0.54109746,-0.52665865,-0.5448027,-0.4734235
-0.66502774,-0.5764009,-0.63087344,-0.6644125,-0.6859151,-0.5978348
0.06262843,-0.02134049,-0.18498607,-0.22972262,-0.2133528,-0.095746264
-0.86556286,-0.84199435,-0.84932834,-0.83583957,-0.80733734,-0.85110074
-0.60773194,-0.4779224,-0.47825426,-0.45012876,-0.44963396,-0.40233132
-2.0172076,-2.0983407,-2.0912294,-2.1337867,-2.1495454,-2.095214
-0.30119964,-0.41525432,-0.46927667,-0.41339442,-0.5119859,-0.43787742
0.9507127,0.80826586,0.9102809,0.933532,1.0435315,0.8684415
-0.36995456,-0.38839656,-0.30468738,-0.32768092,-0.33477503,-0.2423739
0.7329888,0.79931325,0.8145199,0.76210505,0.83678555,0.8373387
0.9020113,0.70680326,0.8863407,0.94577676,0.88601077,0.8373387
-0.49887002,-0.51074857,-0.41241854,-0.3246197,-0.43322554,-0.54451567
-0.4301151,-0.47195402,-0.44832894,-0.4195168,-0.45619732,-0.43343416
0.7100705,0.8739182,0.9551689,0.918226,0.8466306,0.81512237
0.13424812,0.10697993,0.28484157,0.1896613,0.15419562,0.11308703
-1.1033403,-1.0449196,-1.0258877,-1.0470622,-1.0140833,-1.0821503
-0.37568414,-0.3525862,-0.3435903,-0.35217047,-0.37087354,-0.34012565
-0.1665546,-0.19143964,-0.07426236,-0.11645836,-0.07880382,-0.1268491
-0.2181208,-0.2153132,-0.21790393,-0.22666143,-0.12802906,-0.14462215
0.6585043,0.67994547,0.8025497,0.84475726,0.7383351,0.79734933
-1.0002079,-0.9165992,-0.9660371,-0.9644098,-0.9845482,-1.10881
-0.11785321,-0.40928593,-0.4902244,-0.5235975,-0.531676,-0.42010435
0.9593071,1.0619224,1.1317283,1.1325097,1.1354187,1.046172
-0.6421094,-0.5465589,-0.499202,-0.49298552,-0.5710562,-0.54451567
0.51240015,0.5158147,0.53920686,0.5876168,0.6234762,0.5351969
-0.7309179,-0.7823104,-0.7356121,-0.7470648,-0.7909289,-0.7888951
-0.8684277,-0.74351585,-0.7356121,-0.7011469,-0.6498166,-0.584505
-1.8395908,-1.9252573,-1.92664,-1.9409314,-1.9329544,-1.9796892
-1.8854274,-1.9759886,-1.9685354,-1.9715433,-2.0248415,-2.046338
-0.19806728,-0.37944397,-0.37650815,-0.39808843,-0.4627607,-0.35345545
0.31186497,0.28901586,0.18908052,0.2600688,0.28546292,0.3263636
0.44078043,0.336763,0.38658768,0.4284346,0.51518065,0.5351969
1.6554505,1.66473,1.5686382,1.5029145,1.5029671,1.557147
-1.985695,-2.0058305,-2.0463414,-2.1092973,-2.0970385,-2.0818841
0.69574654,0.6680087,0.646938,0.6947587,0.790842,0.7395869
-0.6105968,-0.67786354,-0.7535673,-0.7593096,-0.87625265,-0.753349
0.10560025,0.15472706,0.15915519,0.12843736,0.121378794,0.06865441
0.3978086,0.44120982,0.41052794,0.40394503,0.42329356,0.43300188
0.6069381,0.6709929,0.6738708,0.7284319,0.7809969,0.8373387
0.79601413,0.82020265,0.82948256,0.88149166,0.98446125,0.8373387
-0.29833487,-0.2958865,-0.27476203,-0.18380468,-0.2330429,-0.22904411
-0.269687,-0.32572845,-0.2987023,-0.24196741,-0.22319785,-0.18016824
0.41786212,0.29796845,0.186088,0.19884488,0.19357581,0.26415792
-0.72805303,-0.5764009,-0.6518212,-0.5817602,-0.5710562,-0.64226747
0.41499734,0.4024153,0.38958022,0.4253734,0.5086173,0.5129806
-1.2036078,-1.08073,-1.1246413,-1.1664488,-1.1190971,-1.1487993
0.36343116,0.31587362,0.40155035,0.36414948,0.36750498,0.28637424
0.2545692,0.28901586,0.3416997,0.39782265,0.39375845,0.43744513
0.13997771,0.1965058,0.21302079,0.26313,0.34125152,0.2774877
-0.22098559,-0.34064943,-0.3705231,-0.35217047,-0.39384532,-0.3090228
0.7616367,0.8679498,0.9461913,0.97638875,0.9024192,0.8373387
-0.16368982,-0.25410774,-0.1969562,-0.18380468,-0.15428253,-0.08685975
-0.37568414,-0.3525862,-0.44832894,-0.49604672,-0.34462008,-0.31790936
0.4006734,0.4650834,0.35366982,0.3396599,0.47580048,0.39745578
0.8676338,1.0320805,1.0868404,1.0804694,0.9778979,1.0728315
0.42072693,0.4083837,0.4883338,0.46210778,0.37735003,0.38856924
2.1940308,2.0198493,1.9127795,1.9284209,1.8934873,1.9437108
-1.8768331,-1.9222732,-1.9655429,-1.9899105,-1.9723346,-1.9708027
-1.8481852,-1.9730045,-1.9356176,-1.980727,-1.9624895,-1.9485863
-0.742377,-0.7047213,-0.7415972,-0.78379923,-0.8335908,-0.70891637
-0.6965404,-0.6927845,-0.67576146,-0.63380057,-0.74498534,-0.70002985
-0.23530953,-0.37944397,-0.26877698,-0.24196741,-0.29539487,-0.24681716
-0.20952643,-0.16756608,-0.19994873,-0.20523305,-0.11490233,-0.11796258
-0.4071968,-0.4838908,-0.5231423,-0.53278106,-0.459479,-0.48231003
1.1397887,1.1574167,1.1377134,1.0988365,1.0566583,1.1616968
-0.32411796,-0.37347558,-0.48423934,-0.50216913,-0.53823936,-0.464537
-0.6020024,-0.7047213,-0.62189585,-0.62767816,-0.5743379,-0.5978348
0.111329824,0.24425292,0.14419253,0.11925377,0.23951937,0.15307638
0.36343116,0.42628884,0.49431887,0.6029228,0.48564553,0.42411533
-0.67648685,-0.5584957,-0.55606014,-0.43788397,-0.4955775,-0.5933916
-0.017585635,-0.07207182,-0.02638183,0.005989502,-0.045987,-0.08241648
-0.7079995,-0.66592675,-0.588978,-0.6399229,-0.59730965,-0.5756185
-0.269687,-0.38839656,-0.4004484,-0.422578,-0.43322554,-0.43787742
-0.014720847,0.008501466,0.12324481,0.076397024,0.009801601,-0.033540606
0.69288176,0.63518256,0.6888335,0.64577955,0.59394103,0.65072167
-0.65356857,-0.64503735,-0.5919705,-0.46849594,-0.5710562,-0.62893766
0.6212621,0.65308774,0.5631471,0.55088246,0.5250257,0.58407277
-1.8539147,-1.9282415,-2.0403562,-2.0082777,-2.0248415,-2.0685544
1.0738986,0.9962702,1.146691,1.0682247,1.1518271,1.2550052
0.9994141,0.98731756,0.92225105,0.90292,0.9089826,0.859555
0.6183973,0.6948665,0.6559156,0.6335348,0.58737767,0.65072167
-0.60773194,-0.53462213,-0.46628416,-0.4287004,-0.43650723,-0.5089696
0.34624243,0.3278104,0.28184903,0.28761956,0.51518065,0.40189904
-2.1146104,-2.146088,-2.2258933,-2.2348063,-2.205334,-2.1929657
-0.65643334,-0.5972902,-0.63386595,-0.57257664,-0.69904184,-0.68670005
-0.9801544,-0.8330417,-0.8253881,-0.81441116,-0.84671754,-0.93552274
-2.0172076,-2.0834198,-2.1181622,-2.2195003,-2.1593904,-2.1618629
-0.3814137,-0.31379166,-0.32862765,-0.3215585,-0.2691414,-0.27347672
0.74444795,0.69188225,0.69781107,0.72230947,0.74489844,0.7040408
0.25170442,0.30692104,0.27287143,0.29068077,0.39375845,0.41967207
0.63272125,0.68591386,0.62299776,0.59067804,0.6201945,0.65072167
0.045439698,0.10697993,0.12623733,0.094764195,0.07215357,0.06421115
0.257434,0.35466817,0.20703572,0.20802847,0.29202628,0.20639552
1.0194676,1.0947486,1.191579,1.1110814,1.1518271,1.1439238
-0.32984754,-0.3585546,-0.30468738,-0.32768092,-0.29539487,-0.24681716
-1.1577712,-1.2359082,-1.1036936,-1.1021637,-1.1190971,-1.0821503
-1.3124698,-1.4388335,-1.3879843,-1.4174669,-1.4242936,-1.3931787
1.0968169,0.9276337,1.2095342,1.1723053,1.1255736,1.0861614
0.6556395,0.733661,0.78459454,0.86618567,0.7809969,0.7884628
0.38348466,0.37854174,0.38958022,0.31517035,0.41016686,0.44633165
-1.5645711,-1.6536956,-1.606439,-1.591955,-1.5785327,-1.6020119
-0.4501686,-0.39138076,-0.32862765,-0.30625254,-0.2888315,-0.40677458
-0.20666164,-0.116834745,-0.15506074,-0.13482553,-0.095212236,-0.122405834
0.22592133,0.18755321,0.35666236,0.3396599,0.2887446,0.18417922
-0.91712904,-0.76440525,-0.7445897,-0.69808567,-0.70888686,-0.75779223
0.4952114,0.48000437,0.43147567,0.39170024,0.4528287,0.4063423
-2.0057485,-2.0684988,-2.1421025,-2.1643987,-2.185644,-2.077441
0.22878613,0.20545839,0.22499092,0.21721205,0.20670255,0.22416857
-0.9543713,-0.95837796,-0.8762611,-0.8664515,-1.0304917,-1.077707
-1.3869543,-1.3940705,-1.3430963,-1.3776714,-1.2897446,-1.3487461
0.088411525,0.20247419,0.23696105,0.1774165,0.13778721,0.09975725
-1.1950135,-1.1344455,-1.1665368,-1.138898,-1.1551957,-1.1887887
0.39494383,0.4143521,0.4075354,0.4376182,0.5479975,0.5085373
0.6413156,0.6650245,0.736714,0.7651662,0.6825465,0.6773813
0.9220648,0.96344405,1.0239972,1.0376127,0.9910246,1.0239557
-2.0315316,-2.1610088,-2.1660426,-2.2041943,-2.2644043,-2.197409
0.7329888,0.80528164,0.7995572,0.8355737,0.8302222,0.6773813
-0.29260528,-0.46001723,-0.4812468,-0.46849594,-0.47260574,-0.43787742
0.24597485,0.15771125,0.17711039,0.21721205,0.19357581,0.197509
-0.18087855,-0.22128159,-0.22688152,-0.22360022,-0.15100084,-0.10018953
1.5723717,1.5662515,1.5237501,1.5090369,1.440615,1.3660868
-0.5991376,-0.6360848,-0.71466434,-0.69808567,-0.872971,-0.7888951
-0.36708978,-0.57938504,-0.61591077,-0.65829015,-0.65966165,-0.4956398
-0.4358447,-0.4838908,-0.5620452,-0.5235975,-0.55792946,-0.56228876
-0.68221647,-0.68383193,-0.67576146,-0.68277967,-0.66950667,-0.6733703
0.8275268,0.87690234,0.8653929,0.86006325,0.9319543,0.96175
1.1798958,1.2588794,1.2963176,1.4141399,1.2732493,1.2150159
-1.0890163,-1.0747616,-1.0767608,-1.1021637,-1.1847308,-1.162129
0.36629593,0.51283056,0.46738607,0.50496453,0.45939207,0.4063423
0.38921425,0.4053995,0.46738607,0.44680178,0.48236385,0.44633165
0.11992419,0.10399573,0.0035434978,0.030479074,0.0032382365,0.073097676
1.824473,1.8139398,1.9067944,1.8151567,1.8114452,1.725991
-1.9685062,-2.0864038,-2.0972145,-2.121542,-2.0773485,-2.046338
0.3032706,0.28304747,0.1412,0.12537616,0.11809711,0.26415792
0.07695237,0.18755321,0.21002826,0.2723136,0.16404067,0.20195226
-0.60773194,-0.5764009,-0.5081796,-0.5052303,-0.603873,-0.6111646
-0.553301,-0.51671696,-0.54109746,-0.5695154,-0.49229583,-0.584505
0.730124,0.72470844,0.7097812,0.7100647,0.8696024,0.7440302
-0.8139967,-0.73456323,-0.8104254,-0.84502316,-0.78764725,-0.7622355
-1.025991,-0.89272565,-0.92414165,-0.8786963,-0.9714215,-0.9799553
0.2115974,0.21142678,0.26688638,0.24170163,0.15419562,0.22861183
-1.9513175,-2.0893881,-2.0583115,-2.1001136,-2.0543766,-2.0285652
-0.8827516,-0.74948424,-0.7954627,-0.72869766,-0.7121686,-0.7489057
-1.8739682,-1.996878,-2.0014534,-2.0480733,-2.0215597,-2.041895
0.91060567,0.96941245,0.93422115,0.9365932,0.95492613,0.9217606
1.3460534,1.4588205,1.4190115,1.3682219,1.3520097,1.3394272
0.2602988,0.22037935,0.29381916,0.2753748,0.40688518,0.38856924
0.8103381,0.8351236,0.8354676,0.7835334,0.8302222,0.89954436
-0.31838837,-0.33468103,-0.3795007,-0.39196604,-0.33477503,-0.35345545
0.6269916,0.71874005,0.877363,0.75598264,0.6398846,0.672938
-0.3584954,-0.501796,-0.47526175,-0.44094518,-0.51854926,-0.46898025
-1.1291233,-1.0926667,-1.0558131,-1.0501233,-1.0928437,-1.1576858
0.5926142,0.48298857,0.35067728,0.33659872,0.3248431,0.48187774
-0.58481365,-0.5137328,-0.5859854,-0.5756378,-0.42666218,-0.41121784
-0.34990105,-0.3615388,-0.3256351,-0.3307421,-0.2330429,-0.24681716
-0.8082671,-0.90466243,-0.87027603,-0.85420674,-0.8499992,-0.8866468
-0.4558982,-0.5764009,-0.56803024,-0.51747507,-0.5907463,-0.5800618
-0.01185606,0.09205894,0.14718507,0.18660009,0.1968575,0.17973596
-0.60486716,-0.5405905,-0.5710228,-0.53584224,-0.5415211,-0.566732
0.58115506,0.6739771,0.62299776,0.5937392,0.6727014,0.57074296
0.4436452,0.5426725,0.5362143,0.49271974,0.33140647,0.33080685
-0.28114614,-0.37944397,-0.37351564,-0.4317616,-0.4988592,-0.38455826
0.4035382,0.47403598,0.44643834,0.40394503,0.3839134,0.3352501
0.7072057,0.7157558,0.7157663,0.7131259,0.7153633,0.6062891
-0.42725033,-0.40033334,-0.2987023,-0.3215585,-0.25601467,-0.2423739
-0.5704897,-0.53462213,-0.5710228,-0.50216913,-0.47260574,-0.48675328
-0.41579115,-0.4182385,-0.37650815,-0.3491093,-0.29539487,-0.3578987
-1.8195373,-1.952115,-1.971528,-2.0082777,-2.0215597,-1.9663594
-0.70227,-0.56744826,-0.53810495,-0.45318997,-0.5415211,-0.6644837
-1.9541823,-2.0625303,-2.0882368,-2.1184807,-2.133137,-2.1307602
-0.9601009,-0.8569153,-0.82239556,-0.7929828,-0.82702744,-0.8910901
-0.60773194,-0.609227,-0.6458361,-0.65216774,-0.84671754,-0.79333836
1.3976196,1.6617458,1.4549218,1.4661802,1.3946716,1.4816116
-0.39573765,-0.43315947,-0.45431402,-0.4164556,-0.38728195,-0.40677458
-1.9484527,-2.029704,-2.067289,-2.1001136,-2.142982,-2.112987
-0.3814137,-0.25112355,-0.2538143,-0.1623763,-0.41353542,-0.4512072
1.0996816,1.1812903,1.0718777,1.059041,1.0960385,1.0772748
1.5924252,1.4319627,1.3801086,1.3896502,1.5456289,1.5615903
-0.5905432,-0.54357475,-0.49321693,-0.47461835,-0.47260574,-0.4600937
-0.44730383,-0.2779813,-0.25680685,-0.22972262,-0.14771916,-0.17572498
0.4722931,0.49492535,0.4793562,0.40700623,0.41344854,0.4774345
-0.92285866,-0.8598995,-0.86129844,-0.8633903,-0.89594275,-0.8999766
-0.44730383,-0.40928593,-0.38548577,-0.36135408,-0.3807186,-0.35345545
-0.84550935,-0.7823104,-0.7116718,-0.69808567,-0.7187319,-0.7489057
0.042574912,0.10101154,0.07237175,0.03354027,0.0032382365,-0.0024377748
0.36629593,0.39047852,0.45840847,0.47741374,0.5906594,0.5796295
0.8017437,0.89182335,0.9461913,0.85394084,0.7711519,0.9084309
2.2226784,2.0556595,1.8798616,2.0447464,1.9164591,2.0281327
-1.8510499,-1.9879254,-1.9775131,-2.011339,-2.0346866,-2.0285652
-0.404332,-0.5525273,-0.5829929,-0.5450258,-0.5251126,-0.51341283
-0.37281933,-0.33468103,-0.24782926,-0.2450286,-0.252733,-0.3356824
0.039710123,-0.07505602,-0.1700234,-0.17155989,-0.14771916,-0.05131365
-0.66502774,-0.77634203,-0.7206494,-0.7409424,-0.6235631,-0.78445184
